model,Average Rating,Standard Deviation
dola_adaptive,5.2375,2.3397703554955336
dola_dynamic,5.0625,2.393788110712254
dola_0,5.05,2.337909918027238
dola_8,5.05,2.5152698222021854
dola_avg,5.05,2.4334171420744477
model,5.0125,2.431302979312778
dola_16,4.9875,2.302963143540584
vanilla_t0_9,4.95,2.695049376030151
vanilla_k75,4.8125,2.6052223598579447
vanilla_p_0_9,4.443037974683544,2.730393206599006
dola_24,3.7625,2.461057455133535
vanilla,3.2125,2.3797337900261883
